date,      time,           trace
13.08.2018,00:39:20.600996,bot returned response
13.08.2018,00:39:28.842207,bot returned response
13.08.2018,00:39:39.152758,bot returned response
13.08.2018,00:39:54.783616,bot returned response
13.08.2018,00:40:06.099042,bot returned response
13.08.2018,00:47:54.667406,bot returned response
13.08.2018,00:48:38.023850,bot returned response
13.08.2018,00:48:40.333421,bot returned response
13.08.2018,00:48:54.655690,bot returned response
13.08.2018,00:49:12.922293,bot returned response
13.08.2018,00:50:27.666427,bot returned response
13.08.2018,00:50:58.001389,bot returned response
13.08.2018,01:03:39.815837,bot returned response
13.08.2018,01:03:50.139083,bot returned response
13.08.2018,01:03:56.551198,bot returned response
13.08.2018,01:04:29.862715,bot returned response
13.08.2018,09:37:26.192433,bot returned response
13.08.2018,09:37:32.480527,bot returned response
13.08.2018,09:37:51.985405,bot returned response
13.08.2018,09:38:09.109430,bot returned response
13.08.2018,21:57:32.878961,bot returned response
13.08.2018,21:57:48.891651,bot returned response
13.08.2018,21:58:13.775443,bot returned response
13.08.2018,22:02:37.229550,bot returned response
14.08.2018,06:00:13.185600,bot was interrupted by error:Unable to send due to closed RTM websocket in main
14.08.2018,06:00:13.185600,bot restart attempt
14.08.2018,06:00:14.131885,bot waked up
14.08.2018,08:30:05.635794,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
14.08.2018,08:30:05.636775,bot restart attempt
14.08.2018,08:30:06.577196,bot waked up
14.08.2018,23:15:13.080119,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
14.08.2018,23:15:13.081105,bot restart attempt
14.08.2018,23:15:14.033261,bot waked up
14.08.2018,23:54:35.967815,bot returned response
14.08.2018,23:54:43.269582,bot returned response
14.08.2018,23:55:10.635792,bot returned response
14.08.2018,23:55:30.815489,bot returned response
15.08.2018,00:01:16.012741,bot waked up
15.08.2018,00:01:25.605517,bot was interrupted by error:name 'bip' is not defined in main
15.08.2018,00:01:25.606494,bot restart attempt
15.08.2018,00:01:26.319384,bot waked up
15.08.2018,00:01:52.886766,bot was interrupted by error:name 'bip' is not defined in main
15.08.2018,00:01:52.887744,bot restart attempt
15.08.2018,00:01:53.721730,bot waked up
15.08.2018,00:02:03.269579,bot returned response
15.08.2018,00:02:33.580122,bot returned response
15.08.2018,00:02:48.873094,bot returned response
15.08.2018,00:06:41.293016,bot returned response
15.08.2018,00:33:58.626999,bot waked up
15.08.2018,00:34:16.183645,bot was interrupted by error:name 'channel' is not defined in main
15.08.2018,00:34:16.185596,bot restart attempt
15.08.2018,00:34:16.925830,bot waked up
15.08.2018,00:35:40.536179,bot returned response
15.08.2018,00:35:53.836965,bot was interrupted by error:name 'channel' is not defined in main
15.08.2018,00:35:53.837943,bot restart attempt
15.08.2018,00:35:54.638724,bot waked up
15.08.2018,00:36:37.222705,bot was interrupted by error:name 'channel' is not defined in main
15.08.2018,00:36:37.223681,bot restart attempt
15.08.2018,00:36:38.026413,bot waked up
15.08.2018,00:37:14.110406,bot waked up
15.08.2018,00:37:29.023483,bot returned response
15.08.2018,00:38:23.504929,bot waked up
15.08.2018,00:38:29.070367,bot returned response
15.08.2018,00:38:50.319391,bot returned response
15.08.2018,00:39:14.627001,bot returned response
15.08.2018,00:39:26.934620,bot returned response
15.08.2018,01:52:55.590875,bot was interrupted by error:Unable to send due to closed RTM websocket in main
15.08.2018,01:52:55.590875,bot restart attempt
15.08.2018,01:52:56.469775,bot waked up
15.08.2018,22:21:44.889691,bot waked up
15.08.2018,22:22:24.468798,bot returned response
15.08.2018,22:22:38.868203,bot returned response
15.08.2018,22:23:48.408249,bot waked up
15.08.2018,22:24:00.186570,bot returned response
15.08.2018,22:31:43.795945,bot waked up
15.08.2018,22:31:52.392622,bot returned response
15.08.2018,22:32:21.165087,bot returned response
15.08.2018,22:34:19.531297,bot returned response
15.08.2018,22:34:42.826213,bot returned response
15.08.2018,22:37:42.568402,bot waked up
15.08.2018,22:38:21.122115,bot waked up
15.08.2018,22:38:29.397510,bot was interrupted by error:string indices must be integers in main
15.08.2018,22:38:29.398484,bot restart attempt
15.08.2018,22:38:30.099660,bot waked up
15.08.2018,22:46:34.973682,bot waked up
15.08.2018,22:46:45.252977,bot was interrupted by error:string indices must be integers in main
15.08.2018,22:46:45.253955,bot restart attempt
15.08.2018,22:46:45.973679,bot waked up
15.08.2018,22:47:14.188525,bot waked up
15.08.2018,22:47:19.749069,bot returned response
15.08.2018,22:48:09.491271,bot waked up
15.08.2018,22:48:17.054731,bot returned response
15.08.2018,22:54:33.777390,bot waked up
15.08.2018,22:54:43.842817,bot returned response
15.08.2018,23:40:44.446338,bot waked up
15.08.2018,23:40:57.005903,bot returned response
15.08.2018,23:41:55.810593,bot waked up
15.08.2018,23:42:02.369187,bot returned response
15.08.2018,23:47:00.427777,bot waked up
15.08.2018,23:47:07.988335,bot returned response
15.08.2018,23:51:42.396531,bot waked up
15.08.2018,23:51:48.957077,bot returned response
15.08.2018,23:51:55.271528,bot returned response
16.08.2018,00:00:33.910200,bot waked up
16.08.2018,00:12:10.638719,bot waked up
16.08.2018,00:12:23.176799,bot was interrupted by error:'channel' in main
16.08.2018,00:12:23.176799,bot restart attempt
16.08.2018,00:12:23.887742,bot waked up
16.08.2018,00:13:29.535202,bot waked up
16.08.2018,00:13:36.055716,bot was interrupted by error:'channel' in main
16.08.2018,00:13:36.056690,bot restart attempt
16.08.2018,00:13:36.769574,bot waked up
16.08.2018,00:16:54.350634,bot waked up
16.08.2018,00:17:21.877982,bot was interrupted by error:'channel' in main
16.08.2018,00:17:21.878954,bot restart attempt
16.08.2018,00:17:22.817431,bot waked up
16.08.2018,00:21:33.398489,bot waked up
16.08.2018,00:21:42.265674,bot returned response
16.08.2018,00:24:48.077195,bot waked up
16.08.2018,00:24:58.988325,bot returned response
16.08.2018,00:25:25.549849,bot waked up
16.08.2018,00:25:33.205123,bot returned response
16.08.2018,00:26:35.565510,bot waked up
16.08.2018,00:26:49.173882,bot returned response
16.08.2018,00:28:13.575239,bot waked up
16.08.2018,00:28:22.216855,bot returned response
16.08.2018,00:28:51.296935,bot waked up
16.08.2018,00:29:01.195368,bot returned response
16.08.2018,00:36:18.946332,bot waked up
16.08.2018,00:36:25.843797,bot was interrupted by error:'channel.info' in main
16.08.2018,00:36:25.844771,bot restart attempt
16.08.2018,00:36:26.559631,bot waked up
16.08.2018,00:37:09.527393,bot was interrupted by error:'channel.info' in main
16.08.2018,00:37:09.528367,bot restart attempt
16.08.2018,00:37:10.361376,bot waked up
16.08.2018,00:37:25.409226,bot returned response
16.08.2018,01:32:53.355516,bot was interrupted by error:Unable to send due to closed RTM websocket in main
16.08.2018,01:32:53.357465,bot restart attempt
16.08.2018,01:32:54.237351,bot waked up
16.08.2018,02:19:35.177779,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
16.08.2018,02:19:35.179726,bot restart attempt
16.08.2018,02:19:56.925834,bot failed to connect
16.08.2018,02:20:18.730526,bot failed to connect
16.08.2018,02:20:40.606495,bot failed to connect
16.08.2018,02:21:02.456099,bot failed to connect
16.08.2018,02:21:24.291063,bot failed to connect
16.08.2018,02:21:45.889697,bot failed to connect
16.08.2018,02:22:07.734422,bot failed to connect
16.08.2018,02:22:29.558645,bot failed to connect
16.08.2018,02:22:51.171921,bot failed to connect
16.08.2018,02:23:12.752983,bot failed to connect
16.08.2018,02:23:34.392625,bot failed to connect
16.08.2018,02:23:55.986374,bot failed to connect
16.08.2018,02:24:24.209043,bot failed to connect
16.08.2018,02:24:46.110403,bot failed to connect
16.08.2018,02:25:25.310590,bot failed to connect
16.08.2018,02:25:46.919971,bot failed to connect
16.08.2018,02:26:48.106501,bot failed to connect
16.08.2018,02:27:09.907274,bot failed to connect
16.08.2018,02:27:50.235403,bot waked up
17.08.2018,00:31:13.147508,bot returned response
17.08.2018,02:05:34.410202,bot was interrupted by error:Unable to send due to closed RTM websocket in main
17.08.2018,02:05:34.412149,bot restart attempt
17.08.2018,02:05:35.364305,bot waked up
17.08.2018,10:22:57.850634,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
17.08.2018,10:22:57.852582,bot restart attempt
17.08.2018,10:22:58.742230,bot waked up
18.08.2018,13:32:07.034221,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
18.08.2018,13:32:07.035199,bot restart attempt
18.08.2018,13:32:07.934627,bot waked up
19.08.2018,00:08:34.770547,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
19.08.2018,00:08:34.771524,bot restart attempt
19.08.2018,00:08:35.632856,bot waked up
20.08.2018,12:01:01.689653,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
20.08.2018,12:01:01.692583,bot restart attempt
20.08.2018,12:01:02.616408,bot waked up
20.08.2018,14:13:20.892775,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
20.08.2018,14:13:20.893757,bot restart attempt
20.08.2018,14:13:21.869337,bot waked up
20.08.2018,16:26:21.699421,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
20.08.2018,16:26:21.701367,bot restart attempt
20.08.2018,16:26:22.531446,bot waked up
20.08.2018,20:46:18.091999,bot returned response
20.08.2018,20:46:36.396681,bot returned response
20.08.2018,20:47:04.307813,bot returned response
21.08.2018,01:09:46.598827,bot was interrupted by error:Unable to send due to closed RTM websocket in main
21.08.2018,01:09:46.600779,bot restart attempt
21.08.2018,01:09:47.519725,bot waked up
22.08.2018,01:48:41.635937,bot was interrupted by error:Unable to send due to closed RTM websocket in main
22.08.2018,01:48:41.636907,bot restart attempt
09.09.2018,20:05:40.369696,bot waked up
09.09.2018,20:13:15.238834,bot waked up
09.09.2018,20:13:38.518144,bot returned response
09.09.2018,20:16:35.080641,bot waked up
09.09.2018,20:16:42.645083,bot returned response
09.09.2018,20:20:05.111887,bot returned response
09.09.2018,20:22:44.358951,bot waked up
09.09.2018,20:23:31.936103,bot returned response
09.09.2018,20:24:29.490790,bot waked up
09.09.2018,20:24:34.058176,bot returned response
09.09.2018,20:24:42.371661,bot returned response
09.09.2018,20:25:09.893138,bot returned response
09.09.2018,20:25:43.084547,bot returned response
09.09.2018,20:26:08.395091,bot returned response
09.09.2018,20:26:21.040587,bot returned response
09.09.2018,20:27:07.620670,bot returned response
09.09.2018,21:19:15.142166,bot waked up
09.09.2018,21:19:35.814031,bot returned response
09.09.2018,21:22:05.881422,bot waked up
09.09.2018,21:22:20.445866,bot returned response
09.09.2018,21:25:18.992741,bot returned response
09.09.2018,21:29:01.909750,bot waked up
09.09.2018,21:29:32.735909,bot returned response
09.09.2018,21:29:51.765208,bot returned response
09.09.2018,21:31:23.528882,bot returned response
09.09.2018,21:31:53.674384,bot waked up
09.09.2018,21:32:06.269114,bot returned response
09.09.2018,21:41:49.153878,bot waked up
09.09.2018,21:42:01.250556,bot returned response
09.09.2018,21:42:40.215402,bot waked up
09.09.2018,21:42:50.427324,bot returned response
09.09.2018,21:43:02.436102,bot waked up
09.09.2018,21:43:15.183173,bot returned response
09.09.2018,21:44:21.673413,bot waked up
09.09.2018,21:44:50.253498,bot returned response
09.09.2018,21:45:18.112863,bot waked up
09.09.2018,21:45:31.381423,bot was interrupted by error:no such group in main
09.09.2018,21:45:31.383374,bot restart attempt
09.09.2018,21:45:33.361887,bot waked up
09.09.2018,21:46:13.926337,bot waked up
09.09.2018,21:46:25.189029,bot was interrupted by error:no such group in main
09.09.2018,21:46:25.190014,bot restart attempt
